Prospect Name,RSS Feed,Data Source,Last Scrape Status,Last Scrape Timestamp,Country,Domain,Status,Existing newsletter?,Person,Date sent,Replied,Comments
Antena 3,https://www.antena3.ro/rss,OG,success,2025-11-29 12:05:29,Romania,antena3.ro,To Do,FALSE,,,FALSE,Newly discovered RSS feed
Antena M,-,N/A,-,,Serbia,antenam.net,No feed generated,FALSE,,,FALSE,
Antyweb,https://antyweb.pl/feed/,OG,success,2025-11-29 12:05:31,Poland,antyweb.pl,To Do,FALSE,,,FALSE,Newly discovered RSS feed
Association of Optometrists,-,N/A,-,,United Kingdom,aop.org.uk,No feed generated,FALSE,,,FALSE,
Associated Press of Pakistan (APP),https://app.com.pk/feed,N/A,failed,2025-11-29 12:05:31,Pakistan,app.com.pk,No feed generated,FALSE,Later,,FALSE,
Arabi21,https://arabi21.com/feed,OG,success,2025-11-29 11:38:31,United Kingdom,arabi21.com,Irrelevant prospect,FALSE,Sam,,FALSE,
Arageek,https://backend.arageek.com/tWh65b/feed,OG,success,2025-11-29 12:05:34,United Arab Emirates,arageek.com,To Do,FALSE,,,FALSE,Newly discovered RSS feed
Archimania,https://archimania.pl/itemlist.feed?type=rss,OG,success,2025-11-29 12:05:40,Poland,archimania.pl,To Do,FALSE,,,FALSE,Newly discovered RSS feed
Arena Bodrum Haber,http://arenabodrumhaber.com/feed,OG,success,2025-11-29 12:06:08,Turkey,arenabodrumhaber.com,To Do,FALSE,Later,,FALSE,
Arre,-,N/A,-,,India,arre.co.in,No feed generated,FALSE,,,FALSE,
Ary Digital TV,-,N/A,-,,Pakistan,arydigital.tv,No feed generated,FALSE,,,FALSE,
ARY Digital Network,https://arydigitalnetwork.tv/feed,OG,success,2025-11-29 12:06:09,United Arab Emirates,arydigitalnetwork.tv,Parent org,FALSE,Karen,,FALSE,
Ary News,https://arynews.tv/feed,OG,success,2025-11-29 12:06:18,Pakistan,arynews.tv,To Do,FALSE,Later,,FALSE,
The Asian Age,https://www.asianage.com/google_feeds.xml,OG,success,2025-11-29 12:06:20,India,asianage.com,To Do,FALSE,,,FALSE,Newly discovered RSS feed
ASoglas,-,N/A,-,,Bosnia and Herzegovina,asinfo.info,No feed generated,FALSE,,,FALSE,
AT5,-,N/A,-,,Netherlands,at5.nl,No feed generated,FALSE,,,FALSE,
ATV,https://atv.hu/feed,OG,success,2025-11-29 12:06:23,Hungary,atv.hu,Sending,FALSE,Karen,"Nov 27, 2025 ",FALSE,
Atv Banja Luka,-,N/A,-,,Bosnia and Herzegovina,atvbl.com,No feed generated,FALSE,,,FALSE,
Augusta Free Press,https://augustafreepress.com/feed,N/A,failed,2025-11-29 11:38:31,United States,augustafreepress.com,To Do,FALSE,Karen,,TRUE,✨ Form submitted
Autoportal India,-,N/A,-,,India,autoportal.com,No feed generated,FALSE,,,FALSE,
Autoportal.hr,-,N/A,-,,Croatia,autoportal.hr,No feed generated,FALSE,,,FALSE,
Aviation & Defence Universe,http://aviation-defence-universe.com/feed,RSS,success,2025-11-29 12:06:30,India,aviation-defence-universe.com,Error adding feed to EBX,FALSE,Karen,,FALSE,An error occurred while validating the feed URL
Awami Web,-,N/A,-,,Pakistan,awamiweb.com,No feed generated,FALSE,,,FALSE,
